"RegionName","BedroomCnt","State","City","CountyName","Price","Year","Month","date","station_open"
20002,1,"DC","Washington","District of Columbia",96340.7793392617,2000,1,2000-01-01,0
20002,1,"DC","Washington","District of Columbia",96753.71261064,2000,2,2000-02-01,0
20002,1,"DC","Washington","District of Columbia",97105.096726329,2000,3,2000-03-01,0
20002,1,"DC","Washington","District of Columbia",97815.2503440036,2000,4,2000-04-01,0
20002,1,"DC","Washington","District of Columbia",98604.8142285258,2000,5,2000-05-01,0
20002,1,"DC","Washington","District of Columbia",99356.266075682,2000,6,2000-06-01,0
20002,1,"DC","Washington","District of Columbia",100505.187241924,2000,7,2000-07-01,0
20002,1,"DC","Washington","District of Columbia",101662.659689152,2000,8,2000-08-01,0
20002,1,"DC","Washington","District of Columbia",103112.63389582,2000,9,2000-09-01,0
20002,1,"DC","Washington","District of Columbia",104171.024418384,2000,10,2000-10-01,0
20002,1,"DC","Washington","District of Columbia",104864.536061028,2000,11,2000-11-01,0
20002,1,"DC","Washington","District of Columbia",105630.998483482,2000,12,2000-12-01,0
20002,1,"DC","Washington","District of Columbia",106136.155878893,2001,1,2001-01-01,0
20002,1,"DC","Washington","District of Columbia",107053.602088536,2001,2,2001-02-01,0
20002,1,"DC","Washington","District of Columbia",107973.535489699,2001,3,2001-03-01,0
20002,1,"DC","Washington","District of Columbia",109598.409537348,2001,4,2001-04-01,0
20002,1,"DC","Washington","District of Columbia",111373.201976009,2001,5,2001-05-01,0
20002,1,"DC","Washington","District of Columbia",113360.956607713,2001,6,2001-06-01,0
20002,1,"DC","Washington","District of Columbia",115991.495432464,2001,7,2001-07-01,0
20002,1,"DC","Washington","District of Columbia",118859.759008962,2001,8,2001-08-01,0
20002,1,"DC","Washington","District of Columbia",121869.802964485,2001,9,2001-09-01,0
20002,1,"DC","Washington","District of Columbia",124341.296318459,2001,10,2001-10-01,0
20002,1,"DC","Washington","District of Columbia",126815.752582985,2001,11,2001-11-01,0
20002,1,"DC","Washington","District of Columbia",129538.79510359,2001,12,2001-12-01,0
20002,1,"DC","Washington","District of Columbia",132230.578508977,2002,1,2002-01-01,0
20002,1,"DC","Washington","District of Columbia",134806.410267743,2002,2,2002-02-01,0
20002,1,"DC","Washington","District of Columbia",137020.189792341,2002,3,2002-03-01,0
20002,1,"DC","Washington","District of Columbia",139460.107888883,2002,4,2002-04-01,0
20002,1,"DC","Washington","District of Columbia",141966.427979033,2002,5,2002-05-01,0
20002,1,"DC","Washington","District of Columbia",144697.332799574,2002,6,2002-06-01,0
20002,1,"DC","Washington","District of Columbia",147403.405747651,2002,7,2002-07-01,0
20002,1,"DC","Washington","District of Columbia",150363.373913179,2002,8,2002-08-01,0
20002,1,"DC","Washington","District of Columbia",153217.639092071,2002,9,2002-09-01,0
20002,1,"DC","Washington","District of Columbia",155858.476121586,2002,10,2002-10-01,0
20002,1,"DC","Washington","District of Columbia",158010.356946846,2002,11,2002-11-01,0
20002,1,"DC","Washington","District of Columbia",159826.089010142,2002,12,2002-12-01,0
20002,1,"DC","Washington","District of Columbia",161073.559118696,2003,1,2003-01-01,0
20002,1,"DC","Washington","District of Columbia",162244.607228018,2003,2,2003-02-01,0
20002,1,"DC","Washington","District of Columbia",163318.96703322,2003,3,2003-03-01,0
20002,1,"DC","Washington","District of Columbia",165504.501524458,2003,4,2003-04-01,0
20002,1,"DC","Washington","District of Columbia",168131.235277662,2003,5,2003-05-01,0
20002,1,"DC","Washington","District of Columbia",170823.91847869,2003,6,2003-06-01,0
20002,1,"DC","Washington","District of Columbia",173290.455981424,2003,7,2003-07-01,0
20002,1,"DC","Washington","District of Columbia",175804.185589768,2003,8,2003-08-01,0
20002,1,"DC","Washington","District of Columbia",178769.46538917,2003,9,2003-09-01,0
20002,1,"DC","Washington","District of Columbia",182398.021959038,2003,10,2003-10-01,0
20002,1,"DC","Washington","District of Columbia",186140.343780246,2003,11,2003-11-01,0
20002,1,"DC","Washington","District of Columbia",190141.901717522,2003,12,2003-12-01,0
20002,1,"DC","Washington","District of Columbia",193177.821131173,2004,1,2004-01-01,0
20002,1,"DC","Washington","District of Columbia",195934.944755127,2004,2,2004-02-01,0
20002,1,"DC","Washington","District of Columbia",198669.577666622,2004,3,2004-03-01,0
20002,1,"DC","Washington","District of Columbia",202160.400096787,2004,4,2004-04-01,0
20002,1,"DC","Washington","District of Columbia",205853.495248075,2004,5,2004-05-01,0
20002,1,"DC","Washington","District of Columbia",209799.165916129,2004,6,2004-06-01,0
20002,1,"DC","Washington","District of Columbia",214086.441800478,2004,7,2004-07-01,0
20002,1,"DC","Washington","District of Columbia",218700.150480153,2004,8,2004-08-01,0
20002,1,"DC","Washington","District of Columbia",223688.655270106,2004,9,2004-09-01,0
20002,1,"DC","Washington","District of Columbia",229458.922909813,2004,10,2004-10-01,0
20002,1,"DC","Washington","District of Columbia",234432.66128822,2004,11,2004-11-01,0
20002,1,"DC","Washington","District of Columbia",237607.422705029,2004,12,2004-12-01,0
20002,1,"DC","Washington","District of Columbia",237667.90212766,2005,1,2005-01-01,0
20002,1,"DC","Washington","District of Columbia",239017.154330899,2005,2,2005-02-01,0
20002,1,"DC","Washington","District of Columbia",241196.342472972,2005,3,2005-03-01,0
20002,1,"DC","Washington","District of Columbia",245780.324457981,2005,4,2005-04-01,0
20002,1,"DC","Washington","District of Columbia",249657.265279925,2005,5,2005-05-01,0
20002,1,"DC","Washington","District of Columbia",253350.249314058,2005,6,2005-06-01,0
20002,1,"DC","Washington","District of Columbia",256894.376307655,2005,7,2005-07-01,0
20002,1,"DC","Washington","District of Columbia",261277.821378607,2005,8,2005-08-01,0
20002,1,"DC","Washington","District of Columbia",265898.991434647,2005,9,2005-09-01,0
20002,1,"DC","Washington","District of Columbia",269105.743615795,2005,10,2005-10-01,0
20002,1,"DC","Washington","District of Columbia",271624.924317498,2005,11,2005-11-01,0
20002,1,"DC","Washington","District of Columbia",274123.417853225,2005,12,2005-12-01,0
20002,1,"DC","Washington","District of Columbia",276849.454890064,2006,1,2006-01-01,0
20002,1,"DC","Washington","District of Columbia",279009.939810173,2006,2,2006-02-01,0
20002,1,"DC","Washington","District of Columbia",281509.818954803,2006,3,2006-03-01,0
20002,1,"DC","Washington","District of Columbia",284558.207269976,2006,4,2006-04-01,0
20002,1,"DC","Washington","District of Columbia",287336.736860023,2006,5,2006-05-01,0
20002,1,"DC","Washington","District of Columbia",289387.34687293,2006,6,2006-06-01,0
20002,1,"DC","Washington","District of Columbia",290264.959097892,2006,7,2006-07-01,0
20002,1,"DC","Washington","District of Columbia",290221.780536735,2006,8,2006-08-01,0
20002,1,"DC","Washington","District of Columbia",289095.29499883,2006,9,2006-09-01,0
20002,1,"DC","Washington","District of Columbia",286859.787612907,2006,10,2006-10-01,0
20002,1,"DC","Washington","District of Columbia",283935.80281061,2006,11,2006-11-01,0
20002,1,"DC","Washington","District of Columbia",280980.617670834,2006,12,2006-12-01,0
20002,1,"DC","Washington","District of Columbia",278918.105759884,2007,1,2007-01-01,0
20002,1,"DC","Washington","District of Columbia",278064.89669496,2007,2,2007-02-01,0
20002,1,"DC","Washington","District of Columbia",277562.101447599,2007,3,2007-03-01,0
20002,1,"DC","Washington","District of Columbia",277632.022598431,2007,4,2007-04-01,0
20002,1,"DC","Washington","District of Columbia",278066.565899007,2007,5,2007-05-01,0
20002,1,"DC","Washington","District of Columbia",278947.610645763,2007,6,2007-06-01,0
20002,1,"DC","Washington","District of Columbia",279566.183187951,2007,7,2007-07-01,0
20002,1,"DC","Washington","District of Columbia",279763.051245202,2007,8,2007-08-01,0
20002,1,"DC","Washington","District of Columbia",279555.464701916,2007,9,2007-09-01,0
20002,1,"DC","Washington","District of Columbia",279369.620891879,2007,10,2007-10-01,0
20002,1,"DC","Washington","District of Columbia",279291.156760919,2007,11,2007-11-01,0
20002,1,"DC","Washington","District of Columbia",279326.690800402,2007,12,2007-12-01,0
20002,1,"DC","Washington","District of Columbia",279547.372208678,2008,1,2008-01-01,0
20002,1,"DC","Washington","District of Columbia",279443.510588353,2008,2,2008-02-01,0
20002,1,"DC","Washington","District of Columbia",278230.638581104,2008,3,2008-03-01,0
20002,1,"DC","Washington","District of Columbia",276768.660853999,2008,4,2008-04-01,0
20002,1,"DC","Washington","District of Columbia",276580.478889031,2008,5,2008-05-01,0
20002,1,"DC","Washington","District of Columbia",277839.838808142,2008,6,2008-06-01,0
20002,1,"DC","Washington","District of Columbia",278263.640015398,2008,7,2008-07-01,0
20002,1,"DC","Washington","District of Columbia",277453.127054299,2008,8,2008-08-01,0
20002,1,"DC","Washington","District of Columbia",276946.095044426,2008,9,2008-09-01,0
20002,1,"DC","Washington","District of Columbia",278421.871262732,2008,10,2008-10-01,0
20002,1,"DC","Washington","District of Columbia",280234.803623188,2008,11,2008-11-01,0
