"","ZIPCODE","open"
"1","20190",2014
"2","22102",2014
"3","22102",2014
"4","22102",2014
"5","22102",2014
"6","22182",2014
"7","22182",2014
"8","22182",2014
"9","20148",2022
"10","20148",2022
"11","20166",2022
"12","20166",2022
"13","20147",2022
"14","20147",2022
"15","20041",2022
"16","20170",2022
"17","20170",2022
"18","20171",2022
"19","20171",2022
"20","20190",2022
"21","20191",2022
"22","20192",2022
