"","RegionName","BedroomCnt","State","City","CountyName","Price","Year","Month","date","station_open","zip_in_2014","zip_in_2022"
"1",20002,1,"DC","Washington","District of Columbia",96340.7793392617,2000,1,"2000-01-01",0,0,0
"2",20002,1,"DC","Washington","District of Columbia",96753.71261064,2000,2,"2000-02-01",0,0,0
"3",20002,1,"DC","Washington","District of Columbia",97105.096726329,2000,3,"2000-03-01",0,0,0
"4",20002,1,"DC","Washington","District of Columbia",97815.2503440036,2000,4,"2000-04-01",0,0,0
"5",20002,1,"DC","Washington","District of Columbia",98604.8142285258,2000,5,"2000-05-01",0,0,0
"6",20002,1,"DC","Washington","District of Columbia",99356.266075682,2000,6,"2000-06-01",0,0,0
"7",20002,1,"DC","Washington","District of Columbia",100505.187241924,2000,7,"2000-07-01",0,0,0
"8",20002,1,"DC","Washington","District of Columbia",101662.659689152,2000,8,"2000-08-01",0,0,0
"9",20002,1,"DC","Washington","District of Columbia",103112.63389582,2000,9,"2000-09-01",0,0,0
"10",20002,1,"DC","Washington","District of Columbia",104171.024418384,2000,10,"2000-10-01",0,0,0
"11",20002,1,"DC","Washington","District of Columbia",104864.536061028,2000,11,"2000-11-01",0,0,0
"12",20002,1,"DC","Washington","District of Columbia",105630.998483482,2000,12,"2000-12-01",0,0,0
"13",20002,1,"DC","Washington","District of Columbia",106136.155878893,2001,1,"2001-01-01",0,0,0
"14",20002,1,"DC","Washington","District of Columbia",107053.602088536,2001,2,"2001-02-01",0,0,0
"15",20002,1,"DC","Washington","District of Columbia",107973.535489699,2001,3,"2001-03-01",0,0,0
"16",20002,1,"DC","Washington","District of Columbia",109598.409537348,2001,4,"2001-04-01",0,0,0
"17",20002,1,"DC","Washington","District of Columbia",111373.201976009,2001,5,"2001-05-01",0,0,0
"18",20002,1,"DC","Washington","District of Columbia",113360.956607713,2001,6,"2001-06-01",0,0,0
"19",20002,1,"DC","Washington","District of Columbia",115991.495432464,2001,7,"2001-07-01",0,0,0
"20",20002,1,"DC","Washington","District of Columbia",118859.759008962,2001,8,"2001-08-01",0,0,0
"21",20002,1,"DC","Washington","District of Columbia",121869.802964485,2001,9,"2001-09-01",0,0,0
"22",20002,1,"DC","Washington","District of Columbia",124341.296318459,2001,10,"2001-10-01",0,0,0
"23",20002,1,"DC","Washington","District of Columbia",126815.752582985,2001,11,"2001-11-01",0,0,0
"24",20002,1,"DC","Washington","District of Columbia",129538.79510359,2001,12,"2001-12-01",0,0,0
"25",20002,1,"DC","Washington","District of Columbia",132230.578508977,2002,1,"2002-01-01",0,0,0
"26",20002,1,"DC","Washington","District of Columbia",134806.410267743,2002,2,"2002-02-01",0,0,0
"27",20002,1,"DC","Washington","District of Columbia",137020.189792341,2002,3,"2002-03-01",0,0,0
"28",20002,1,"DC","Washington","District of Columbia",139460.107888883,2002,4,"2002-04-01",0,0,0
"29",20002,1,"DC","Washington","District of Columbia",141966.427979033,2002,5,"2002-05-01",0,0,0
"30",20002,1,"DC","Washington","District of Columbia",144697.332799574,2002,6,"2002-06-01",0,0,0
"31",20002,1,"DC","Washington","District of Columbia",147403.405747651,2002,7,"2002-07-01",0,0,0
"32",20002,1,"DC","Washington","District of Columbia",150363.373913179,2002,8,"2002-08-01",0,0,0
"33",20002,1,"DC","Washington","District of Columbia",153217.639092071,2002,9,"2002-09-01",0,0,0
"34",20002,1,"DC","Washington","District of Columbia",155858.476121586,2002,10,"2002-10-01",0,0,0
"35",20002,1,"DC","Washington","District of Columbia",158010.356946846,2002,11,"2002-11-01",0,0,0
"36",20002,1,"DC","Washington","District of Columbia",159826.089010142,2002,12,"2002-12-01",0,0,0
"37",20002,1,"DC","Washington","District of Columbia",161073.559118696,2003,1,"2003-01-01",0,0,0
"38",20002,1,"DC","Washington","District of Columbia",162244.607228018,2003,2,"2003-02-01",0,0,0
"39",20002,1,"DC","Washington","District of Columbia",163318.96703322,2003,3,"2003-03-01",0,0,0
"40",20002,1,"DC","Washington","District of Columbia",165504.501524458,2003,4,"2003-04-01",0,0,0
"41",20002,1,"DC","Washington","District of Columbia",168131.235277662,2003,5,"2003-05-01",0,0,0
"42",20002,1,"DC","Washington","District of Columbia",170823.91847869,2003,6,"2003-06-01",0,0,0
"43",20002,1,"DC","Washington","District of Columbia",173290.455981424,2003,7,"2003-07-01",0,0,0
"44",20002,1,"DC","Washington","District of Columbia",175804.185589768,2003,8,"2003-08-01",0,0,0
"45",20002,1,"DC","Washington","District of Columbia",178769.46538917,2003,9,"2003-09-01",0,0,0
"46",20002,1,"DC","Washington","District of Columbia",182398.021959038,2003,10,"2003-10-01",0,0,0
"47",20002,1,"DC","Washington","District of Columbia",186140.343780246,2003,11,"2003-11-01",0,0,0
"48",20002,1,"DC","Washington","District of Columbia",190141.901717522,2003,12,"2003-12-01",0,0,0
"49",20002,1,"DC","Washington","District of Columbia",193177.821131173,2004,1,"2004-01-01",0,0,0
"50",20002,1,"DC","Washington","District of Columbia",195934.944755127,2004,2,"2004-02-01",0,0,0
"51",20002,1,"DC","Washington","District of Columbia",198669.577666622,2004,3,"2004-03-01",0,0,0
